N = 16
k = 0 , l = 0 , inner_product =  1.0
k = 0 , l = 1 , inner_product =  5.551115123125783e-17
k = 0 , l = 2 , inner_product =  -4.163336342344337e-17
k = 0 , l = 3 , inner_product =  1.6653345369377348e-16
k = 0 , l = 4 , inner_product =  -6.938893903907228e-17
k = 0 , l = 5 , inner_product =  -1.1102230246251565e-16
k = 0 , l = 6 , inner_product =  -1.6653345369377348e-16
k = 0 , l = 7 , inner_product =  2.220446049250313e-16
k = 0 , l = 8 , inner_product =  0.0
k = 0 , l = 9 , inner_product =  2.220446049250313e-16
k = 0 , l = 10 , inner_product =  -8.326672684688674e-17
k = 0 , l = 11 , inner_product =  1.3877787807814457e-17
k = 0 , l = 12 , inner_product =  -9.020562075079397e-16
k = 0 , l = 13 , inner_product =  1.5265566588595902e-16
k = 0 , l = 14 , inner_product =  5.412337245047638e-16
k = 0 , l = 15 , inner_product =  9.43689570931383e-16
k = 1 , l = 0 , inner_product =  5.551115123125783e-17
k = 1 , l = 1 , inner_product =  1.0
k = 1 , l = 2 , inner_product =  1.3877787807814457e-16
k = 1 , l = 3 , inner_product =  -2.220446049250313e-16
k = 1 , l = 4 , inner_product =  5.551115123125783e-17
k = 1 , l = 5 , inner_product =  3.469446951953614e-17
k = 1 , l = 6 , inner_product =  3.3306690738754696e-16
k = 1 , l = 7 , inner_product =  -3.0531133177191805e-16
k = 1 , l = 8 , inner_product =  1.6653345369377348e-16
k = 1 , l = 9 , inner_product =  -1.6653345369377348e-16
k = 1 , l = 10 , inner_product =  5.551115123125783e-17
k = 1 , l = 11 , inner_product =  -2.914335439641036e-16
k = 1 , l = 12 , inner_product =  2.914335439641036e-16
k = 1 , l = 13 , inner_product =  -5.551115123125783e-17
k = 1 , l = 14 , inner_product =  9.159339953157541e-16
k = 1 , l = 15 , inner_product =  -1.1657341758564144e-15
k = 2 , l = 0 , inner_product =  -4.163336342344337e-17
k = 2 , l = 1 , inner_product =  1.3877787807814457e-16
k = 2 , l = 2 , inner_product =  1.0
k = 2 , l = 3 , inner_product =  1.6653345369377348e-16
k = 2 , l = 4 , inner_product =  -1.3877787807814457e-16
k = 2 , l = 5 , inner_product =  0.0
k = 2 , l = 6 , inner_product =  -3.885780586188048e-16
k = 2 , l = 7 , inner_product =  1.6653345369377348e-16
k = 2 , l = 8 , inner_product =  -1.457167719820518e-16
k = 2 , l = 9 , inner_product =  0.0
k = 2 , l = 10 , inner_product =  1.942890293094024e-16
k = 2 , l = 11 , inner_product =  2.7755575615628914e-16
k = 2 , l = 12 , inner_product =  4.2327252813834093e-16
k = 2 , l = 13 , inner_product =  3.608224830031759e-16
k = 2 , l = 14 , inner_product =  -2.0088097851811426e-15
k = 2 , l = 15 , inner_product =  6.800116025829084e-16
k = 3 , l = 0 , inner_product =  1.6653345369377348e-16
k = 3 , l = 1 , inner_product =  -2.220446049250313e-16
k = 3 , l = 2 , inner_product =  1.6653345369377348e-16
k = 3 , l = 3 , inner_product =  0.9999999999999999
k = 3 , l = 4 , inner_product =  1.6653345369377348e-16
k = 3 , l = 5 , inner_product =  2.7755575615628914e-17
k = 3 , l = 6 , inner_product =  2.7755575615628914e-16
k = 3 , l = 7 , inner_product =  9.71445146547012e-17
k = 3 , l = 8 , inner_product =  -2.7755575615628914e-17
k = 3 , l = 9 , inner_product =  -3.469446951953614e-17
k = 3 , l = 10 , inner_product =  0.0
k = 3 , l = 11 , inner_product =  2.220446049250313e-16
k = 3 , l = 12 , inner_product =  4.440892098500626e-16
k = 3 , l = 13 , inner_product =  -1.1102230246251565e-15
k = 3 , l = 14 , inner_product =  4.440892098500626e-16
k = 3 , l = 15 , inner_product =  4.440892098500626e-16
k = 4 , l = 0 , inner_product =  -6.938893903907228e-17
k = 4 , l = 1 , inner_product =  5.551115123125783e-17
k = 4 , l = 2 , inner_product =  -1.3877787807814457e-16
k = 4 , l = 3 , inner_product =  1.6653345369377348e-16
k = 4 , l = 4 , inner_product =  1.0000000000000002
k = 4 , l = 5 , inner_product =  5.551115123125783e-17
k = 4 , l = 6 , inner_product =  -1.6653345369377348e-16
k = 4 , l = 7 , inner_product =  -4.163336342344337e-17
k = 4 , l = 8 , inner_product =  -1.457167719820518e-16
k = 4 , l = 9 , inner_product =  -1.1102230246251565e-16
k = 4 , l = 10 , inner_product =  4.85722573273506e-17
k = 4 , l = 11 , inner_product =  8.604228440844963e-16
k = 4 , l = 12 , inner_product =  -1.3322676295501878e-15
k = 4 , l = 13 , inner_product =  5.551115123125783e-16
k = 4 , l = 14 , inner_product =  6.036837696399289e-16
k = 4 , l = 15 , inner_product =  -1.4224732503009818e-16
k = 5 , l = 0 , inner_product =  -1.1102230246251565e-16
k = 5 , l = 1 , inner_product =  3.469446951953614e-17
k = 5 , l = 2 , inner_product =  0.0
k = 5 , l = 3 , inner_product =  2.7755575615628914e-17
k = 5 , l = 4 , inner_product =  5.551115123125783e-17
k = 5 , l = 5 , inner_product =  1.0
k = 5 , l = 6 , inner_product =  1.1796119636642288e-16
k = 5 , l = 7 , inner_product =  -5.551115123125783e-17
k = 5 , l = 8 , inner_product =  1.942890293094024e-16
k = 5 , l = 9 , inner_product =  -1.3877787807814457e-16
k = 5 , l = 10 , inner_product =  4.718447854656915e-16
k = 5 , l = 11 , inner_product =  -1.9984014443252818e-15
k = 5 , l = 12 , inner_product =  7.216449660063518e-16
k = 5 , l = 13 , inner_product =  -2.7755575615628914e-16
k = 5 , l = 14 , inner_product =  -5.551115123125783e-17
k = 5 , l = 15 , inner_product =  -2.8449465006019636e-16
k = 6 , l = 0 , inner_product =  -1.6653345369377348e-16
k = 6 , l = 1 , inner_product =  3.3306690738754696e-16
k = 6 , l = 2 , inner_product =  -3.885780586188048e-16
k = 6 , l = 3 , inner_product =  2.7755575615628914e-16
k = 6 , l = 4 , inner_product =  -1.6653345369377348e-16
k = 6 , l = 5 , inner_product =  1.1796119636642288e-16
k = 6 , l = 6 , inner_product =  0.9999999999999996
k = 6 , l = 7 , inner_product =  1.3877787807814457e-16
k = 6 , l = 8 , inner_product =  3.3306690738754696e-16
k = 6 , l = 9 , inner_product =  1.3877787807814457e-16
k = 6 , l = 10 , inner_product =  -8.951173136040325e-16
k = 6 , l = 11 , inner_product =  5.689893001203927e-16
k = 6 , l = 12 , inner_product =  5.342948306008566e-16
k = 6 , l = 13 , inner_product =  3.885780586188048e-16
k = 6 , l = 14 , inner_product =  -3.0531133177191805e-16
k = 6 , l = 15 , inner_product =  2.220446049250313e-16
k = 7 , l = 0 , inner_product =  2.220446049250313e-16
k = 7 , l = 1 , inner_product =  -3.0531133177191805e-16
k = 7 , l = 2 , inner_product =  1.6653345369377348e-16
k = 7 , l = 3 , inner_product =  9.71445146547012e-17
k = 7 , l = 4 , inner_product =  -4.163336342344337e-17
k = 7 , l = 5 , inner_product =  -5.551115123125783e-17
k = 7 , l = 6 , inner_product =  1.3877787807814457e-16
k = 7 , l = 7 , inner_product =  1.0000000000000004
k = 7 , l = 8 , inner_product =  6.38378239159465e-16
k = 7 , l = 9 , inner_product =  -1.124100812432971e-15
k = 7 , l = 10 , inner_product =  6.106226635438361e-16
k = 7 , l = 11 , inner_product =  2.498001805406602e-16
k = 7 , l = 12 , inner_product =  4.0245584642661925e-16
k = 7 , l = 13 , inner_product =  -1.5959455978986625e-16
k = 7 , l = 14 , inner_product =  -2.7755575615628914e-16
k = 7 , l = 15 , inner_product =  -5.551115123125783e-17
k = 8 , l = 0 , inner_product =  0.0
k = 8 , l = 1 , inner_product =  1.6653345369377348e-16
k = 8 , l = 2 , inner_product =  -1.457167719820518e-16
k = 8 , l = 3 , inner_product =  -2.7755575615628914e-17
k = 8 , l = 4 , inner_product =  -1.457167719820518e-16
k = 8 , l = 5 , inner_product =  1.942890293094024e-16
k = 8 , l = 6 , inner_product =  3.3306690738754696e-16
k = 8 , l = 7 , inner_product =  6.38378239159465e-16
k = 8 , l = 8 , inner_product =  0.9999999999999989
k = 8 , l = 9 , inner_product =  5.134781488891349e-16
k = 8 , l = 10 , inner_product =  9.71445146547012e-17
k = 8 , l = 11 , inner_product =  4.718447854656915e-16
k = 8 , l = 12 , inner_product =  -1.124100812432971e-15
k = 8 , l = 13 , inner_product =  3.885780586188048e-16
k = 8 , l = 14 , inner_product =  -4.579669976578771e-16
k = 8 , l = 15 , inner_product =  3.3306690738754696e-16
k = 9 , l = 0 , inner_product =  2.220446049250313e-16
k = 9 , l = 1 , inner_product =  -1.6653345369377348e-16
k = 9 , l = 2 , inner_product =  0.0
k = 9 , l = 3 , inner_product =  -3.469446951953614e-17
k = 9 , l = 4 , inner_product =  -1.1102230246251565e-16
k = 9 , l = 5 , inner_product =  -1.3877787807814457e-16
k = 9 , l = 6 , inner_product =  1.3877787807814457e-16
k = 9 , l = 7 , inner_product =  -1.124100812432971e-15
k = 9 , l = 8 , inner_product =  5.134781488891349e-16
k = 9 , l = 9 , inner_product =  1.0
k = 9 , l = 10 , inner_product =  4.163336342344337e-17
k = 9 , l = 11 , inner_product =  -7.7021722333370235e-16
k = 9 , l = 12 , inner_product =  5.967448757360216e-16
k = 9 , l = 13 , inner_product =  -7.979727989493313e-16
k = 9 , l = 14 , inner_product =  7.771561172376096e-16
k = 9 , l = 15 , inner_product =  -8.326672684688674e-17
k = 10 , l = 0 , inner_product =  -8.326672684688674e-17
k = 10 , l = 1 , inner_product =  5.551115123125783e-17
k = 10 , l = 2 , inner_product =  1.942890293094024e-16
k = 10 , l = 3 , inner_product =  0.0
k = 10 , l = 4 , inner_product =  4.85722573273506e-17
k = 10 , l = 5 , inner_product =  4.718447854656915e-16
k = 10 , l = 6 , inner_product =  -8.951173136040325e-16
k = 10 , l = 7 , inner_product =  6.106226635438361e-16
k = 10 , l = 8 , inner_product =  9.71445146547012e-17
k = 10 , l = 9 , inner_product =  4.163336342344337e-17
k = 10 , l = 10 , inner_product =  1.0000000000000004
k = 10 , l = 11 , inner_product =  8.326672684688674e-17
k = 10 , l = 12 , inner_product =  -3.3306690738754696e-16
k = 10 , l = 13 , inner_product =  4.996003610813204e-16
k = 10 , l = 14 , inner_product =  -3.0531133177191805e-16
k = 10 , l = 15 , inner_product =  5.551115123125783e-17
k = 11 , l = 0 , inner_product =  1.3877787807814457e-17
k = 11 , l = 1 , inner_product =  -2.914335439641036e-16
k = 11 , l = 2 , inner_product =  2.7755575615628914e-16
k = 11 , l = 3 , inner_product =  2.220446049250313e-16
k = 11 , l = 4 , inner_product =  8.604228440844963e-16
k = 11 , l = 5 , inner_product =  -1.9984014443252818e-15
k = 11 , l = 6 , inner_product =  5.689893001203927e-16
k = 11 , l = 7 , inner_product =  2.498001805406602e-16
k = 11 , l = 8 , inner_product =  4.718447854656915e-16
k = 11 , l = 9 , inner_product =  -7.7021722333370235e-16
