N = 16
k = 0 , l = 0 , inner_product =  1.0
k = 0 , l = 1 , inner_product =  0.0
k = 0 , l = 2 , inner_product =  0.0
k = 0 , l = 3 , inner_product =  0.0
k = 0 , l = 4 , inner_product =  0.0
k = 0 , l = 5 , inner_product =  0.0
k = 0 , l = 6 , inner_product =  0.0
k = 0 , l = 7 , inner_product =  0.0
k = 0 , l = 8 , inner_product =  0.0
k = 0 , l = 9 , inner_product =  0.0
k = 0 , l = 10 , inner_product =  0.0
k = 0 , l = 11 , inner_product =  0.0
k = 0 , l = 12 , inner_product =  0.0
k = 0 , l = 13 , inner_product =  0.0
k = 0 , l = 14 , inner_product =  0.0
k = 0 , l = 15 , inner_product =  0.0
k = 1 , l = 0 , inner_product =  0.0
k = 1 , l = 1 , inner_product =  1.0
k = 1 , l = 2 , inner_product =  0.0
k = 1 , l = 3 , inner_product =  0.0
k = 1 , l = 4 , inner_product =  0.0
k = 1 , l = 5 , inner_product =  0.0
k = 1 , l = 6 , inner_product =  0.0
k = 1 , l = 7 , inner_product =  0.0
k = 1 , l = 8 , inner_product =  0.0
k = 1 , l = 9 , inner_product =  0.0
k = 1 , l = 10 , inner_product =  0.0
k = 1 , l = 11 , inner_product =  0.0
k = 1 , l = 12 , inner_product =  0.0
k = 1 , l = 13 , inner_product =  0.0
k = 1 , l = 14 , inner_product =  0.0
k = 1 , l = 15 , inner_product =  0.0
k = 2 , l = 0 , inner_product =  0.0
k = 2 , l = 1 , inner_product =  0.0
k = 2 , l = 2 , inner_product =  1.0
k = 2 , l = 3 , inner_product =  0.0
k = 2 , l = 4 , inner_product =  0.0
k = 2 , l = 5 , inner_product =  0.0
k = 2 , l = 6 , inner_product =  0.0
k = 2 , l = 7 , inner_product =  0.0
k = 2 , l = 8 , inner_product =  0.0
k = 2 , l = 9 , inner_product =  0.0
k = 2 , l = 10 , inner_product =  0.0
k = 2 , l = 11 , inner_product =  0.0
k = 2 , l = 12 , inner_product =  0.0
k = 2 , l = 13 , inner_product =  0.0
k = 2 , l = 14 , inner_product =  0.0
k = 2 , l = 15 , inner_product =  0.0
k = 3 , l = 0 , inner_product =  0.0
k = 3 , l = 1 , inner_product =  0.0
k = 3 , l = 2 , inner_product =  0.0
k = 3 , l = 3 , inner_product =  1.0
k = 3 , l = 4 , inner_product =  0.0
k = 3 , l = 5 , inner_product =  0.0
k = 3 , l = 6 , inner_product =  0.0
k = 3 , l = 7 , inner_product =  0.0
k = 3 , l = 8 , inner_product =  0.0
k = 3 , l = 9 , inner_product =  0.0
k = 3 , l = 10 , inner_product =  0.0
k = 3 , l = 11 , inner_product =  0.0
k = 3 , l = 12 , inner_product =  0.0
k = 3 , l = 13 , inner_product =  0.0
k = 3 , l = 14 , inner_product =  0.0
k = 3 , l = 15 , inner_product =  0.0
k = 4 , l = 0 , inner_product =  0.0
k = 4 , l = 1 , inner_product =  0.0
k = 4 , l = 2 , inner_product =  0.0
k = 4 , l = 3 , inner_product =  0.0
k = 4 , l = 4 , inner_product =  1.0
k = 4 , l = 5 , inner_product =  0.0
k = 4 , l = 6 , inner_product =  0.0
k = 4 , l = 7 , inner_product =  0.0
k = 4 , l = 8 , inner_product =  0.0
k = 4 , l = 9 , inner_product =  0.0
k = 4 , l = 10 , inner_product =  0.0
k = 4 , l = 11 , inner_product =  0.0
k = 4 , l = 12 , inner_product =  0.0
k = 4 , l = 13 , inner_product =  0.0
k = 4 , l = 14 , inner_product =  0.0
k = 4 , l = 15 , inner_product =  0.0
k = 5 , l = 0 , inner_product =  0.0
k = 5 , l = 1 , inner_product =  0.0
k = 5 , l = 2 , inner_product =  0.0
k = 5 , l = 3 , inner_product =  0.0
k = 5 , l = 4 , inner_product =  0.0
k = 5 , l = 5 , inner_product =  1.0
k = 5 , l = 6 , inner_product =  0.0
k = 5 , l = 7 , inner_product =  0.0
k = 5 , l = 8 , inner_product =  0.0
k = 5 , l = 9 , inner_product =  0.0
k = 5 , l = 10 , inner_product =  0.0
k = 5 , l = 11 , inner_product =  0.0
k = 5 , l = 12 , inner_product =  0.0
k = 5 , l = 13 , inner_product =  0.0
k = 5 , l = 14 , inner_product =  0.0
k = 5 , l = 15 , inner_product =  0.0
k = 6 , l = 0 , inner_product =  0.0
